"","ABBA","ACRU","BEPA","ACSA","THOC","FAGR","ACPE","Picea","TSCA","POGR","BEAL","POTR","QURU","FRNI","PIST","POBA","LALA"
"345",0,10,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"346",0,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"347",0,1,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"348",0,4,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"349",0,4,9,2,0,0,0,0,0,1,0,0,0,0,0,0,0
"350",0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
"353",2,3,10,0,6,0,0,2,0,0,0,0,0,0,0,0,0
"354",3,13,11,0,4,0,0,2,0,1,0,0,0,0,0,0,0
"355",13,11,6,0,1,0,0,0,0,3,0,0,0,0,0,0,0
"356",4,8,7,0,0,0,1,0,0,6,0,0,0,0,0,0,0
"357",5,8,4,0,0,0,1,0,0,1,0,1,0,0,0,0,0
"358",7,7,10,0,0,0,2,0,0,0,0,0,0,0,2,0,0
"359",5,11,8,0,2,0,1,1,0,0,0,0,0,0,0,0,0
"360",0,9,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"361",11,10,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"362",2,11,10,1,0,1,1,0,0,1,0,0,0,0,0,0,0
"363",2,3,10,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"364",1,5,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"365",1,9,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"366",2,10,10,0,0,0,2,0,0,0,0,0,0,0,1,0,0
"367",0,13,2,1,0,0,2,0,0,0,0,0,0,0,2,0,0
"368",0,5,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"369",0,6,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"370",0,4,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"371",0,7,8,5,0,0,2,0,0,0,0,0,0,0,0,0,0
"372",2,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"373",0,2,3,1,0,0,0,0,0,5,0,0,0,0,0,0,0
"376",9,4,9,0,20,0,0,7,0,0,0,0,0,0,0,0,0
"377",17,8,8,0,17,0,0,2,0,0,0,0,0,0,0,0,0
"378",4,9,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"379",13,9,6,0,3,0,3,0,0,0,0,0,0,0,0,0,0
"380",6,12,11,0,3,0,1,0,2,0,0,0,0,0,0,0,0
"381",2,6,10,0,0,0,1,0,0,0,0,2,0,0,0,0,0
"382",0,7,9,0,2,0,2,0,0,0,0,2,0,0,1,0,0
"383",5,6,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"384",0,3,13,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"385",2,3,5,1,0,0,14,0,0,1,0,0,0,0,1,0,0
"386",0,7,9,1,0,0,1,0,0,1,0,0,0,0,0,0,0
"387",1,3,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0
"388",0,4,7,3,0,0,2,0,0,0,0,0,0,0,0,0,0
"389",0,1,11,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"390",0,9,12,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"391",0,11,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"392",2,6,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0
